assembly ID	domain	phylum	class	order	family	genus	species	full scientific name	metabolism
GCA_008107585	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium wieringae	<I>Acetobacterium</I> <I>wieringae</I> Braun and Gottschalk 1983	anaerobe
GCA_012516215	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Acetomicrobium	Acetomicrobium flavidum	<I>Acetomicrobium</I> <I>flavidum</I> Soutschek et al. 1985	anaerobe
GCA_900129645	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Acetomicrobium	Acetomicrobium flavidum	<I>Acetomicrobium</I> <I>flavidum</I> Soutschek et al. 1985	anaerobe
GCA_902859965	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter aegrifaciens	<I>Achromobacter</I> <I>aegrifaciens</I> Vandamme et al. 2014	aerobe
GCA_900496965	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter agilis	<I>Achromobacter</I> <I>agilis</I> Vandamme et al. 2016	aerobe
GCA_004121055	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter aloeverae	<I>Achromobacter</I> <I>aloeverae</I> Kuncharoen et al. 2017	aerobe
GCA_902859585	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter animicus	<I>Achromobacter</I> <I>animicus</I> Vandamme et al. 2013	aerobe
GCA_902860025	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter animicus	<I>Achromobacter</I> <I>animicus</I> Vandamme et al. 2013	aerobe
GCA_903652925	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter anxifer	<I>Achromobacter</I> <I>anxifer</I> Vandamme et al. 2014	aerobe
GCA_902860145	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter anxifer	<I>Achromobacter</I> <I>anxifer</I> Vandamme et al. 2014	aerobe
GCA_013116765	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter deleyi	<I>Achromobacter</I> <I>deleyi</I> Vandamme et al. 2016	aerobe
GCA_902859705	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter deleyi	<I>Achromobacter</I> <I>deleyi</I> Vandamme et al. 2016	aerobe
GCA_902860045	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter deleyi	<I>Achromobacter</I> <I>deleyi</I> Vandamme et al. 2016	aerobe
GCA_902860095	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter deleyi	<I>Achromobacter</I> <I>deleyi</I> Vandamme et al. 2016	aerobe
GCA_902860135	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter deleyi	<I>Achromobacter</I> <I>deleyi</I> Vandamme et al. 2016	aerobe
GCA_902859985	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter denitrificans	<I>Achromobacter</I> <I>denitrificans</I> (Rüger and Tan 1983) Coenye et al. 2003	aerobe
GCA_003096295	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter dolens	<I>Achromobacter</I> <I>dolens</I> Vandamme et al. 2014	aerobe
GCA_007655095	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter dolens	<I>Achromobacter</I> <I>dolens</I> Vandamme et al. 2014	aerobe
GCA_902859745	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter dolens	<I>Achromobacter</I> <I>dolens</I> Vandamme et al. 2014	aerobe
GCA_902860115	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter dolens	<I>Achromobacter</I> <I>dolens</I> Vandamme et al. 2014	aerobe
GCA_902859975	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter dolens	<I>Achromobacter</I> <I>dolens</I> Vandamme et al. 2014	aerobe
GCA_902860175	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter insolitus	<I>Achromobacter</I> <I>insolitus</I> Coenye et al. 2003	aerobe
GCA_902860165	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter insolitus	<I>Achromobacter</I> <I>insolitus</I> Coenye et al. 2003	aerobe
GCA_902860205	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter insolitus	<I>Achromobacter</I> <I>insolitus</I> Coenye et al. 2003	aerobe
GCA_902859595	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter kerstersii	<I>Achromobacter</I> <I>kerstersii</I> Vandamme et al. 2016	aerobe
GCA_902860005	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter mucicolens	<I>Achromobacter</I> <I>mucicolens</I> Vandamme et al. 2013	aerobe
GCA_902860105	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter mucicolens	<I>Achromobacter</I> <I>mucicolens</I> Vandamme et al. 2013	aerobe
GCA_013267355	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter pestifer	<I>Achromobacter</I> <I>pestifer</I> (ex Frankland and Frankland 1887) Vandamme et al. 2016	aerobe
GCA_902859625	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter pestifer	<I>Achromobacter</I> <I>pestifer</I> (ex Frankland and Frankland 1887) Vandamme et al. 2016	aerobe
GCA_902860185	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter piechaudii	<I>Achromobacter</I> <I>piechaudii</I> (Kiredjian et al. 1986) Yabuuchi et al. 1998	aerobe
GCA_002885955	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter pulmonis	<I>Achromobacter</I> <I>pulmonis</I> Vandamme et al. 2013	aerobe
GCA_902859765	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter pulmonis	<I>Achromobacter</I> <I>pulmonis</I> Vandamme et al. 2013	aerobe
GCA_902860085	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter ruhlandii	<I>Achromobacter</I> <I>ruhlandii</I> (Packer and Vishniac 1955) Yabuuchi et al. 1998	aerobe
GCA_000508285	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	<I>Achromobacter</I> <I>xylosoxidans</I> (ex Yabuuchi and Ohyama 1971) Yabuuchi and Yano 1981	aerobe
GCA_001038045	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	<I>Achromobacter</I> <I>xylosoxidans</I> (ex Yabuuchi and Ohyama 1971) Yabuuchi and Yano 1981	aerobe
GCA_001051055	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	<I>Achromobacter</I> <I>xylosoxidans</I> (ex Yabuuchi and Ohyama 1971) Yabuuchi and Yano 1981	aerobe
GCA_001057595	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	<I>Achromobacter</I> <I>xylosoxidans</I> (ex Yabuuchi and Ohyama 1971) Yabuuchi and Yano 1981	aerobe
GCA_001057605	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	<I>Achromobacter</I> <I>xylosoxidans</I> (ex Yabuuchi and Ohyama 1971) Yabuuchi and Yano 1981	aerobe
GCA_001275845	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	<I>Achromobacter</I> <I>xylosoxidans</I> (ex Yabuuchi and Ohyama 1971) Yabuuchi and Yano 1981	aerobe
GCA_001275865	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	<I>Achromobacter</I> <I>xylosoxidans</I> (ex Yabuuchi and Ohyama 1971) Yabuuchi and Yano 1981	aerobe
GCA_001275875	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	<I>Achromobacter</I> <I>xylosoxidans</I> (ex Yabuuchi and Ohyama 1971) Yabuuchi and Yano 1981	aerobe
GCA_001276005	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	<I>Achromobacter</I> <I>xylosoxidans</I> (ex Yabuuchi and Ohyama 1971) Yabuuchi and Yano 1981	aerobe
GCA_001276025	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	<I>Achromobacter</I> <I>xylosoxidans</I> (ex Yabuuchi and Ohyama 1971) Yabuuchi and Yano 1981	aerobe
GCA_004123295	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidipila	Acidipila dinghuensis	<I>Acidipila</I> <I>dinghuensis</I> Jiang et al. 2016	aerobe
GCA_000310065	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium acidipropionici	<I>Acidipropionibacterium</I> <I>acidipropionici</I> (Orla-Jensen 1909) Scholz and Kilian 2016	obligate anaerobe
GCA_003325455	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium virtanenii	<I>Acidipropionibacterium</I> <I>virtanenii</I> Deptula et al. 2018	anaerobe
GCA_000688455	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium ailaaui	<I>Acidobacterium</I> <I>ailaaui</I> Myers and King 2016	aerobe
GCA_900107605	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax soli	<I>Acidovorax</I> <I>soli</I> Choi et al. 2010	anaerobe
GCA_900197575	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter apis	<I>Acinetobacter</I> <I>apis</I> Kim et al. 2014	aerobe
GCA_000369285	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	<I>Acinetobacter</I> <I>baumannii</I> Bouvet and Grimont 1986	aerobe
GCA_000248295	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter bereziniae	<I>Acinetobacter</I> <I>bereziniae</I> Nemec et al. 2010	aerobe
GCA_000368925	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter bereziniae	<I>Acinetobacter</I> <I>bereziniae</I> Nemec et al. 2010	aerobe
GCA_000753985	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter bereziniae	<I>Acinetobacter</I> <I>bereziniae</I> Nemec et al. 2010	aerobe
GCA_000825165	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter bereziniae	<I>Acinetobacter</I> <I>bereziniae</I> Nemec et al. 2010	aerobe
GCA_001055215	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter bereziniae	<I>Acinetobacter</I> <I>bereziniae</I> Nemec et al. 2010	aerobe
GCA_001500155	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter bereziniae	<I>Acinetobacter</I> <I>bereziniae</I> Nemec et al. 2010	aerobe
GCA_002813045	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter bereziniae	<I>Acinetobacter</I> <I>bereziniae</I> Nemec et al. 2010	aerobe
GCA_003670255	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter bereziniae	<I>Acinetobacter</I> <I>bereziniae</I> Nemec et al. 2010	aerobe
GCA_006334885	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter bereziniae	<I>Acinetobacter</I> <I>bereziniae</I> Nemec et al. 2010	aerobe
GCA_006334895	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter bereziniae	<I>Acinetobacter</I> <I>bereziniae</I> Nemec et al. 2010	aerobe
GCA_008802275	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter bohemicus	<I>Acinetobacter</I> <I>bohemicus</I> Krizova et al. 2015	aerobe
GCA_000413935	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter colistiniresistens	<I>Acinetobacter</I> <I>colistiniresistens</I> Nemec et al. 2017	aerobe
GCA_003227755	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter colistiniresistens	<I>Acinetobacter</I> <I>colistiniresistens</I> Nemec et al. 2017	aerobe
GCA_003569565	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter colistiniresistens	<I>Acinetobacter</I> <I>colistiniresistens</I> Nemec et al. 2017	aerobe
GCA_007713425	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter colistiniresistens	<I>Acinetobacter</I> <I>colistiniresistens</I> Nemec et al. 2017	aerobe
GCA_008987005	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter colistiniresistens	<I>Acinetobacter</I> <I>colistiniresistens</I> Nemec et al. 2017	aerobe
GCA_008988385	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter colistiniresistens	<I>Acinetobacter</I> <I>colistiniresistens</I> Nemec et al. 2017	aerobe
GCA_008990765	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter colistiniresistens	<I>Acinetobacter</I> <I>colistiniresistens</I> Nemec et al. 2017	aerobe
GCA_008992365	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter colistiniresistens	<I>Acinetobacter</I> <I>colistiniresistens</I> Nemec et al. 2017	aerobe
GCA_008993755	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter colistiniresistens	<I>Acinetobacter</I> <I>colistiniresistens</I> Nemec et al. 2017	aerobe
GCA_001704615	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter defluvii	<I>Acinetobacter</I> <I>defluvii</I> Hu et al. 2017	obligate aerobe
GCA_013072655	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter defluvii	<I>Acinetobacter</I> <I>defluvii</I> Hu et al. 2017	obligate aerobe
GCA_001307195	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter equi	<I>Acinetobacter</I> <I>equi</I> Poppel et al. 2016	aerobe
GCA_001678755	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter gandensis	<I>Acinetobacter</I> <I>gandensis</I> Smet et al. 2014	aerobe
GCA_008802205	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter gandensis	<I>Acinetobacter</I> <I>gandensis</I> Smet et al. 2014	aerobe
GCA_000488195	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter gyllenbergii	<I>Acinetobacter</I> <I>gyllenbergii</I> Nemec et al. 2009	aerobe
GCA_000488255	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter indicus	<I>Acinetobacter</I> <I>indicus</I> Malhotra et al. 2012	aerobe
GCA_000830155	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter indicus	<I>Acinetobacter</I> <I>indicus</I> Malhotra et al. 2012	aerobe
GCA_000368665	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter junii	<I>Acinetobacter</I> <I>junii</I> Bouvet and Grimont 1986	aerobe
GCA_001704115	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter larvae	<I>Acinetobacter</I> <I>larvae</I> Liu et al. 2017	aerobe
GCA_000369125	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter lwoffii	<I>Acinetobacter</I> <I>lwoffii</I> (Audureau 1940) Brisou and Prévot 1954 (Approved Lists 1980)	aerobe
GCA_000314595	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter nosocomialis	<I>Acinetobacter</I> <I>nosocomialis</I> Nemec et al. 2011	aerobe
GCA_000368085	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter nosocomialis	<I>Acinetobacter</I> <I>nosocomialis</I> Nemec et al. 2011	aerobe
GCA_000694975	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter nosocomialis	<I>Acinetobacter</I> <I>nosocomialis</I> Nemec et al. 2011	aerobe
GCA_000775795	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter nosocomialis	<I>Acinetobacter</I> <I>nosocomialis</I> Nemec et al. 2011	aerobe
GCA_000775895	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter nosocomialis	<I>Acinetobacter</I> <I>nosocomialis</I> Nemec et al. 2011	aerobe
GCA_000802905	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter nosocomialis	<I>Acinetobacter</I> <I>nosocomialis</I> Nemec et al. 2011	aerobe
GCA_000814165	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter nosocomialis	<I>Acinetobacter</I> <I>nosocomialis</I> Nemec et al. 2011	aerobe
GCA_000836055	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter nosocomialis	<I>Acinetobacter</I> <I>nosocomialis</I> Nemec et al. 2011	aerobe
GCA_000931675	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter nosocomialis	<I>Acinetobacter</I> <I>nosocomialis</I> Nemec et al. 2011	aerobe
GCA_000931775	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter nosocomialis	<I>Acinetobacter</I> <I>nosocomialis</I> Nemec et al. 2011	aerobe
GCA_000803285	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter oleivorans	<I>Acinetobacter</I> <I>oleivorans</I> Kang et al. 2011	aerobe
GCA_000836035	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter oleivorans	<I>Acinetobacter</I> <I>oleivorans</I> Kang et al. 2011	aerobe
GCA_003053305	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter oleivorans	<I>Acinetobacter</I> <I>oleivorans</I> Kang et al. 2011	aerobe
GCA_008580845	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter oleivorans	<I>Acinetobacter</I> <I>oleivorans</I> Kang et al. 2011	aerobe
GCA_008580865	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter oleivorans	<I>Acinetobacter</I> <I>oleivorans</I> Kang et al. 2011	aerobe
GCA_008580885	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter oleivorans	<I>Acinetobacter</I> <I>oleivorans</I> Kang et al. 2011	aerobe
GCA_008580905	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter oleivorans	<I>Acinetobacter</I> <I>oleivorans</I> Kang et al. 2011	aerobe
GCA_008580925	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter oleivorans	<I>Acinetobacter</I> <I>oleivorans</I> Kang et al. 2011	aerobe
GCA_008580945	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter oleivorans	<I>Acinetobacter</I> <I>oleivorans</I> Kang et al. 2011	aerobe
GCA_008580965	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter oleivorans	<I>Acinetobacter</I> <I>oleivorans</I> Kang et al. 2011	aerobe
GCA_000315155	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii	<I>Acinetobacter</I> <I>pittii</I> Nemec et al. 2011	aerobe
GCA_000341835	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii	<I>Acinetobacter</I> <I>pittii</I> Nemec et al. 2011	aerobe
GCA_000369045	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii	<I>Acinetobacter</I> <I>pittii</I> Nemec et al. 2011	aerobe
GCA_000681535	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii	<I>Acinetobacter</I> <I>pittii</I> Nemec et al. 2011	aerobe
GCA_000746375	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii	<I>Acinetobacter</I> <I>pittii</I> Nemec et al. 2011	aerobe
GCA_000800555	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii	<I>Acinetobacter</I> <I>pittii</I> Nemec et al. 2011	aerobe
GCA_000805655	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii	<I>Acinetobacter</I> <I>pittii</I> Nemec et al. 2011	aerobe
GCA_000817365	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii	<I>Acinetobacter</I> <I>pittii</I> Nemec et al. 2011	aerobe
